# City

## Cube 2x3x2

-1 2 1
-1 2 -1
-3 2 -1
-3 2 -1
-3 2 1
-1 2 1

-1 2 1
-1 2 -1
-1 -1 -1
-1 -1 -1
-1 -1 1
-1 2 1

-1 2 -1
-3 2 -1
-3 -1 -1
-3 -1 -1
-1 -1 -1
-1 2 -1

-3 2 -1
-3 2 1
-3 -1 1
-3 -1 1
-3 -1 -1
-3 2 -1

-3 2 1
-1 2 1
-1 -1 1
-1 -1 1
-3 -1 1
-3 2 1

-1 -1 1
-1 -1 -1
-3 -1 -1
-3 -1 -1
-3 -1 1
-1 -1 1

## Cube 2x2x4

3 1 3
3 1 -1
1 1 -1
1 1 -1
1 1 3
3 1 3

3 1 3
3 1 -1
3 -1 -1
3 -1 -1
3 -1 3
3 1 3

3 1 -1
1 1 -1
1 -1 -1
1 -1 -1
3 -1 -1
3 1 -1

1 1 -1
1 1 3
1 -1 3
1 -1 3
1 -1 -1
1 1 -1

1 1 3
3 1 3
3 -1 3
3 -1 3
1 -1 3
1 1 3

3 -1 3
3 -1 -1
1 -1 -1
1 -1 -1
1 -1 3
3 -1 3

## Cube 2x2.5x1

-1 1.5 3
-1 1.5 2
-3 1.5 2
-3 1.5 2
-3 1.5 3
-1 1.5 3

-1 1.5 3
-1 1.5 2
-1 -1 2
-1 -1 2
-1 -1 3
-1 1.5 3

-1 1.5 2
-3 1.5 2
-3 -1 2
-3 -1 2
-1 -1 2
-1 1.5 2

-3 1.5 2
-3 1.5 3
-3 -1 3
-3 -1 3
-3 -1 2
-3 1.5 2

-3 1.5 3
-1 1.5 3
-1 -1 3
-1 -1 3
-3 -1 3
-3 1.5 3

-1 -1 3
-1 -1 2
-3 -1 2
-3 -1 2
-3 -1 3
-1 -1 3
